dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.7946772191185598
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.8754593420235879
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.9106548727498449
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.9141185599006827
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.916340782122905
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.9168963376784605
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.9198696461824952
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.9216014897579144
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.9271570453134699
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.9332029795158286
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.7753289882060832
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.849379267535692
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.89
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.9022222222222221
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.9055555555555556
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.9027777777777778
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.9027777777777778
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.9038888888888889
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.9083333333333334
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.8866666666666666
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,0.7921911855990068
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,0.8798696461824954
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,0.9198696461824954
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,0.9243140906269398
